ID	parentID	nameID	provisional	accordingTo	accordingToID	accordingToDate	referenceID	fossil	recent	lifezone	link	kingdom	phylum	class	order	family	genus	species
128305		128305	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=128305	Chromista	Oomycota	Peronosporea	Peronosporales	Peronosporaceae	Peronospora	menthae
128307		128307	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=128307	Chromista	Oomycota	Peronosporea	Peronosporales	Peronosporaceae	Phytophthora	mirabilis
128308		128308	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=128308	Chromista	Oomycota	Peronosporea	Saprolegniales	Leptolegniaceae	Aphanomyces	iridis
128345		128345	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=128345	Chromista	Oomycota	Peronosporea	Peronosporales	Peronosporaceae	Plasmopara	cryptotaeniae
128346		128346	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=128346	Chromista	Oomycota	Peronosporea	Peronosporales	Peronosporaceae	Plasmopara	oenanthes
128357		128357	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=128357	Chromista	Oomycota	Peronosporea	Albuginales	Albuginaceae	Albugo	hyoscyami
130421		130421	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=130421	Chromista	Oomycota	Peronosporea	Peronosporales	Pythiaceae	Pythium	insidiosum
130423		130423	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=130423	Chromista	Oomycota	Peronosporea	Peronosporales	Pythiaceae	Pythium	capillosum
130427		130427	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=130427	Chromista	Oomycota	Peronosporea	Peronosporales	Pythiaceae	Pythium	destruens
130428		130428	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=130428	Chromista	Oomycota	Peronosporea	Peronosporales	Peronosporaceae	Plasmopara	selini
